starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 17 15:58:43 2013	1371506323	200	493	693	442
Mon Jun 17 15:58:46 2013	1371506326	227	466	694	404
Mon Jun 17 15:58:12 2013	1371506292	205	489	694	488
Mon Jun 17 15:58:30 2013	1371506310	202	492	694	430
Mon Jun 17 15:58:26 2013	1371506306	208	486	694	425
Mon Jun 17 15:58:12 2013	1371506292	203	491	695	476
Mon Jun 17 15:58:36 2013	1371506316	209	485	695	478
Mon Jun 17 15:58:36 2013	1371506316	202	494	696	490
Mon Jun 17 15:58:25 2013	1371506305	199	497	696	497
Mon Jun 17 15:58:33 2013	1371506313	203	493	696	490
Mon Jun 17 15:58:35 2013	1371506315	205	492	697	491
Mon Jun 17 15:58:36 2013	1371506316	203	494	697	493
Mon Jun 17 15:58:36 2013	1371506316	223	474	697	474
Mon Jun 17 15:58:44 2013	1371506324	208	489	697	489
Mon Jun 17 15:58:37 2013	1371506317	218	479	697	477
Mon Jun 17 15:58:31 2013	1371506311	203	495	698	494
Mon Jun 17 15:58:25 2013	1371506305	207	491	698	490
Mon Jun 17 15:58:33 2013	1371506313	212	486	698	486
Mon Jun 17 15:58:12 2013	1371506292	222	478	700	425
Mon Jun 17 15:58:28 2013	1371506308	231	469	700	469
Mon Jun 17 15:58:43 2013	1371506323	204	496	701	496
Mon Jun 17 15:58:38 2013	1371506318	221	480	701	480
Mon Jun 17 15:58:33 2013	1371506313	205	498	703	497
Mon Jun 17 15:58:12 2013	1371506292	205	499	704	496
Mon Jun 17 15:58:44 2013	1371506324	209	494	704	492
Mon Jun 17 15:58:39 2013	1371506319	225	479	704	471
Mon Jun 17 15:58:24 2013	1371506304	210	495	705	494
Mon Jun 17 15:58:28 2013	1371506308	221	484	705	415
Mon Jun 17 15:58:38 2013	1371506318	212	494	706	491
Mon Jun 17 15:58:37 2013	1371506317	216	490	706	487
Mon Jun 17 15:58:27 2013	1371506307	210	496	706	494
Mon Jun 17 15:58:24 2013	1371506304	224	482	707	482
Mon Jun 17 15:58:25 2013	1371506305	211	496	707	496
Mon Jun 17 15:58:39 2013	1371506319	228	479	707	475
Mon Jun 17 15:58:27 2013	1371506307	210	498	707	436
Mon Jun 17 15:58:43 2013	1371506323	208	500	708	499
Mon Jun 17 15:58:35 2013	1371506315	215	494	709	492
Mon Jun 17 15:58:28 2013	1371506308	214	495	710	425
Mon Jun 17 15:58:43 2013	1371506323	201	509	710	509
Mon Jun 17 15:58:46 2013	1371506326	202	508	710	505
Mon Jun 17 15:58:35 2013	1371506315	203	507	710	504
Mon Jun 17 15:58:25 2013	1371506305	201	510	711	510
Mon Jun 17 15:58:43 2013	1371506323	222	489	712	489
Mon Jun 17 15:58:24 2013	1371506304	200	512	712	512
Mon Jun 17 15:58:25 2013	1371506305	203	509	712	505
Mon Jun 17 15:58:25 2013	1371506305	221	491	712	491
Mon Jun 17 15:58:36 2013	1371506316	206	506	712	445
Mon Jun 17 15:58:39 2013	1371506319	203	509	713	509
Mon Jun 17 15:58:49 2013	1371506329	220	494	713	430
Mon Jun 17 15:58:47 2013	1371506327	209	505	714	505
Mon Jun 17 15:58:49 2013	1371506329	203	511	714	511
Mon Jun 17 15:58:43 2013	1371506323	202	514	715	452
Mon Jun 17 15:58:43 2013	1371506323	207	509	716	509
Mon Jun 17 15:58:24 2013	1371506304	202	514	716	514
Mon Jun 17 15:58:26 2013	1371506306	212	504	716	442
Mon Jun 17 15:58:38 2013	1371506318	219	497	717	425
Mon Jun 17 15:58:39 2013	1371506319	220	497	717	436
Mon Jun 17 15:58:24 2013	1371506304	216	501	718	498
Mon Jun 17 15:58:37 2013	1371506317	205	512	718	512
Mon Jun 17 15:58:37 2013	1371506317	206	513	719	438
Mon Jun 17 15:58:49 2013	1371506329	219	500	719	439
Mon Jun 17 15:58:27 2013	1371506307	206	514	719	445
Mon Jun 17 15:58:38 2013	1371506318	210	510	720	455
Mon Jun 17 15:58:28 2013	1371506308	210	510	720	448
Mon Jun 17 15:58:44 2013	1371506324	210	510	720	510
Mon Jun 17 15:58:37 2013	1371506317	212	509	720	447
Mon Jun 17 15:58:12 2013	1371506292	213	508	721	446
Mon Jun 17 15:58:37 2013	1371506317	213	508	721	506
Mon Jun 17 15:58:35 2013	1371506315	217	505	721	442
Mon Jun 17 15:58:39 2013	1371506319	225	497	722	496
Mon Jun 17 15:58:45 2013	1371506325	210	511	722	511
Mon Jun 17 15:58:33 2013	1371506313	205	518	723	515
Mon Jun 17 15:58:43 2013	1371506323	203	520	723	460
Mon Jun 17 15:58:33 2013	1371506313	205	519	724	515
Mon Jun 17 15:58:27 2013	1371506307	213	511	724	511
Mon Jun 17 15:58:24 2013	1371506304	218	508	725	507
