starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 17 15:58:35 2013	1371506315	207	655	862	651
Mon Jun 17 15:58:34 2013	1371506314	210	653	863	582
Mon Jun 17 15:58:26 2013	1371506306	199	664	863	664
Mon Jun 17 15:58:42 2013	1371506322	213	651	864	649
Mon Jun 17 15:58:29 2013	1371506309	201	664	864	661
Mon Jun 17 15:58:46 2013	1371506326	201	663	864	609
Mon Jun 17 15:58:33 2013	1371506313	205	660	865	660
Mon Jun 17 15:58:26 2013	1371506306	229	636	865	575
Mon Jun 17 15:58:28 2013	1371506308	211	655	866	655
Mon Jun 17 15:58:46 2013	1371506326	201	665	866	663
Mon Jun 17 15:58:23 2013	1371506303	205	662	866	598
Mon Jun 17 15:58:24 2013	1371506304	203	664	867	610
Mon Jun 17 15:58:48 2013	1371506328	220	647	867	644
Mon Jun 17 15:58:24 2013	1371506304	204	663	868	601
Mon Jun 17 15:58:23 2013	1371506303	207	661	868	655
Mon Jun 17 15:58:29 2013	1371506309	206	662	868	661
Mon Jun 17 15:58:23 2013	1371506303	213	655	868	651
Mon Jun 17 15:58:36 2013	1371506316	224	646	870	576
Mon Jun 17 15:58:33 2013	1371506313	215	656	871	654
Mon Jun 17 15:58:29 2013	1371506309	225	646	871	638
Mon Jun 17 15:58:29 2013	1371506309	207	664	872	609
Mon Jun 17 15:58:42 2013	1371506322	204	668	872	667
Mon Jun 17 15:58:31 2013	1371506311	228	645	873	587
Mon Jun 17 15:58:28 2013	1371506308	208	664	873	662
Mon Jun 17 15:58:45 2013	1371506325	208	665	874	665
Mon Jun 17 15:58:41 2013	1371506321	205	670	874	669
Mon Jun 17 15:58:29 2013	1371506309	206	670	875	608
Mon Jun 17 15:58:25 2013	1371506305	217	659	876	656
Mon Jun 17 15:58:47 2013	1371506327	201	675	876	612
Mon Jun 17 15:58:44 2013	1371506324	219	657	877	594
Mon Jun 17 15:58:33 2013	1371506313	208	670	877	669
Mon Jun 17 15:58:45 2013	1371506325	206	671	877	671
Mon Jun 17 15:58:37 2013	1371506317	202	676	878	668
Mon Jun 17 15:58:22 2013	1371506302	251	629	880	628
Mon Jun 17 15:58:35 2013	1371506315	202	680	882	618
Mon Jun 17 15:58:33 2013	1371506313	212	670	882	668
Mon Jun 17 15:58:32 2013	1371506312	207	676	883	614
Mon Jun 17 15:58:23 2013	1371506303	204	679	883	679
Mon Jun 17 15:58:34 2013	1371506314	215	668	884	594
Mon Jun 17 15:58:39 2013	1371506319	203	681	884	676
Mon Jun 17 15:58:23 2013	1371506303	201	684	885	638
Mon Jun 17 15:58:29 2013	1371506309	206	679	885	606
Mon Jun 17 15:58:31 2013	1371506311	218	668	885	597
Mon Jun 17 15:58:39 2013	1371506319	228	657	885	653
