starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 04 19:48:53 2013	1370389733	4	46	50	46
Tue Jun 04 19:48:53 2013	1370389733	50	0	50	0
Tue Jun 04 19:48:53 2013	1370389733	4	47	51	46
Tue Jun 04 19:48:53 2013	1370389733	4	48	52	47
Tue Jun 04 19:48:53 2013	1370389733	6	49	55	45
Tue Jun 04 19:48:53 2013	1370389733	6	50	56	50
Tue Jun 04 19:48:53 2013	1370389733	3	53	56	52
Tue Jun 04 19:48:53 2013	1370389733	4	53	57	52
Tue Jun 04 19:48:53 2013	1370389733	6	51	57	51
Tue Jun 04 19:48:53 2013	1370389733	4	54	58	54
Tue Jun 04 19:48:55 2013	1370389735	48	17	66	17
Tue Jun 04 19:48:55 2013	1370389735	51	17	68	16
Tue Jun 04 19:48:55 2013	1370389735	38	31	69	31
Tue Jun 04 19:48:53 2013	1370389733	77	4	82	4
Tue Jun 04 19:48:55 2013	1370389735	68	15	83	15
Tue Jun 04 19:48:56 2013	1370389736	84	4	88	4
Tue Jun 04 19:48:55 2013	1370389735	79	10	89	9
Tue Jun 04 19:48:54 2013	1370389734	56	34	89	33
Tue Jun 04 19:48:53 2013	1370389733	79	11	90	7
Tue Jun 04 19:48:55 2013	1370389735	67	23	90	23
Tue Jun 04 19:48:54 2013	1370389734	61	30	90	29
Tue Jun 04 19:48:53 2013	1370389733	80	14	93	6
Tue Jun 04 19:48:53 2013	1370389733	75	19	94	18
Tue Jun 04 19:48:54 2013	1370389734	56	39	95	39
Tue Jun 04 19:48:54 2013	1370389734	74	22	95	21
Tue Jun 04 19:48:55 2013	1370389735	83	13	97	13
Tue Jun 04 19:48:53 2013	1370389733	82	15	97	11
Tue Jun 04 19:48:56 2013	1370389736	74	24	98	23
Tue Jun 04 19:48:55 2013	1370389735	86	12	98	11
Tue Jun 04 19:48:55 2013	1370389735	83	15	98	14
Tue Jun 04 19:48:53 2013	1370389733	69	31	100	30
Tue Jun 04 19:48:53 2013	1370389733	95	6	101	6
Tue Jun 04 19:48:56 2013	1370389736	97	5	101	4
Tue Jun 04 19:48:56 2013	1370389736	81	22	103	21
Tue Jun 04 19:48:53 2013	1370389733	79	24	103	18
Tue Jun 04 19:48:53 2013	1370389733	78	25	103	24
Tue Jun 04 19:48:55 2013	1370389735	87	17	104	17
Tue Jun 04 19:48:53 2013	1370389733	70	34	104	34
Tue Jun 04 19:48:53 2013	1370389733	105	1	106	0
Tue Jun 04 19:48:54 2013	1370389734	92	17	109	17
Tue Jun 04 19:48:53 2013	1370389733	68	41	109	40
Tue Jun 04 19:48:56 2013	1370389736	95	14	109	14
Tue Jun 04 19:48:53 2013	1370389733	76	34	110	31
Tue Jun 04 19:48:53 2013	1370389733	76	34	110	34
Tue Jun 04 19:48:53 2013	1370389733	77	33	110	33
Tue Jun 04 19:48:56 2013	1370389736	101	10	111	10
Tue Jun 04 19:48:53 2013	1370389733	109	5	114	1
Tue Jun 04 19:48:53 2013	1370389733	75	39	115	39
Tue Jun 04 19:48:53 2013	1370389733	68	47	115	41
Tue Jun 04 19:48:55 2013	1370389735	101	16	116	12
Tue Jun 04 19:48:56 2013	1370389736	100	17	117	16
Tue Jun 04 19:48:53 2013	1370389733	110	7	117	7
Tue Jun 04 19:48:53 2013	1370389733	80	38	118	37
Tue Jun 04 19:48:53 2013	1370389733	70	51	120	45
Tue Jun 04 19:48:53 2013	1370389733	110	16	126	16
Tue Jun 04 19:48:56 2013	1370389736	92	38	130	37
Tue Jun 04 19:48:54 2013	1370389734	122	11	133	9
Tue Jun 04 19:48:54 2013	1370389734	130	4	134	3
Tue Jun 04 19:48:54 2013	1370389734	112	24	136	24
Tue Jun 04 19:48:53 2013	1370389733	113	37	151	37
Tue Jun 04 19:48:53 2013	1370389733	119	32	151	30
Tue Jun 04 19:48:56 2013	1370389736	155	5	160	5
Tue Jun 04 19:48:56 2013	1370389736	230	12	242	11
Tue Jun 04 19:48:56 2013	1370389736	371	13	384	12
Tue Jun 04 19:48:55 2013	1370389735	387	0	387	0
Tue Jun 04 19:48:55 2013	1370389735	359	35	395	35
Tue Jun 04 19:48:54 2013	1370389734	383	20	403	18
Tue Jun 04 19:48:53 2013	1370389733	414	6	421	5
Tue Jun 04 19:48:54 2013	1370389734	403	23	426	22
Tue Jun 04 19:48:53 2013	1370389733	441	18	460	17
Tue Jun 04 19:48:55 2013	1370389735	457	10	467	10
Tue Jun 04 19:48:53 2013	1370389733	473	7	480	6
Tue Jun 04 19:48:54 2013	1370389734	472	9	482	9
Tue Jun 04 19:48:56 2013	1370389736	507	6	513	6
Tue Jun 04 19:48:53 2013	1370389733	504	29	533	0
Tue Jun 04 19:48:54 2013	1370389734	555	16	571	15
Tue Jun 04 19:48:54 2013	1370389734	553	27	580	26
Tue Jun 04 19:48:54 2013	1370389734	615	0	615	0
Tue Jun 04 19:48:55 2013	1370389735	605	21	626	21
Tue Jun 04 19:48:56 2013	1370389736	665	5	669	0
Tue Jun 04 19:48:56 2013	1370389736	661	9	671	9
Tue Jun 04 19:48:53 2013	1370389733	684	13	697	12
Tue Jun 04 19:48:53 2013	1370389733	699	17	716	16
Tue Jun 04 19:48:56 2013	1370389736	812	7	819	6
Tue Jun 04 19:48:56 2013	1370389736	817	17	833	12
Tue Jun 04 19:48:54 2013	1370389734	862	4	867	0
Tue Jun 04 19:48:53 2013	1370389733	864	3	867	2
Tue Jun 04 19:48:54 2013	1370389734	870	16	885	15
