starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 04 19:48:55 2013	1370389735	935	18	954	17
Tue Jun 04 19:48:55 2013	1370389735	1062	4	1067	4
Tue Jun 04 19:48:53 2013	1370389733	1176	32	1209	32
Tue Jun 04 19:48:53 2013	1370389733	1229	38	1267	36
Tue Jun 04 19:48:55 2013	1370389735	1341	30	1370	28
Tue Jun 04 19:48:55 2013	1370389735	1553	11	1564	10
Tue Jun 04 19:48:53 2013	1370389733	1536	37	1572	36
Tue Jun 04 19:48:54 2013	1370389734	1519	85	1604	0
Tue Jun 04 19:48:53 2013	1370389733	1792	18	1810	17
Tue Jun 04 19:48:56 2013	1370389736	1833	0	1833	0
Tue Jun 04 19:48:53 2013	1370389733	2001	3	2004	2
Tue Jun 04 19:48:55 2013	1370389735	2111	9	2120	0
