starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 04 19:53:08 2013	1370389988	4	44	49	43
Tue Jun 04 19:53:08 2013	1370389988	4	46	49	44
Tue Jun 04 19:53:08 2013	1370389988	5	46	51	46
Tue Jun 04 19:53:08 2013	1370389988	4	47	51	44
Tue Jun 04 19:53:08 2013	1370389988	5	46	52	45
Tue Jun 04 19:53:08 2013	1370389988	6	47	52	47
Tue Jun 04 19:53:08 2013	1370389988	7	45	52	44
Tue Jun 04 19:53:08 2013	1370389988	9	43	52	43
Tue Jun 04 19:53:08 2013	1370389988	5	48	53	48
Tue Jun 04 19:53:08 2013	1370389988	7	46	53	45
Tue Jun 04 19:53:08 2013	1370389988	7	46	53	46
Tue Jun 04 19:53:08 2013	1370389988	6	47	53	46
Tue Jun 04 19:53:08 2013	1370389988	5	49	54	49
Tue Jun 04 19:53:08 2013	1370389988	8	46	54	46
Tue Jun 04 19:53:08 2013	1370389988	6	48	54	48
Tue Jun 04 19:53:08 2013	1370389988	7	48	55	48
Tue Jun 04 19:53:08 2013	1370389988	7	48	55	48
Tue Jun 04 19:53:08 2013	1370389988	6	49	55	49
Tue Jun 04 19:53:08 2013	1370389988	7	49	56	48
Tue Jun 04 19:53:08 2013	1370389988	11	46	57	45
Tue Jun 04 19:53:08 2013	1370389988	11	46	57	46
Tue Jun 04 19:53:08 2013	1370389988	7	51	58	49
Tue Jun 04 19:53:08 2013	1370389988	9	49	58	46
Tue Jun 04 19:53:08 2013	1370389988	7	52	59	51
Tue Jun 04 19:53:08 2013	1370389988	9	50	59	50
Tue Jun 04 19:53:08 2013	1370389988	16	43	59	43
Tue Jun 04 19:53:08 2013	1370389988	5	54	60	53
Tue Jun 04 19:53:08 2013	1370389988	7	53	60	51
Tue Jun 04 19:53:08 2013	1370389988	7	54	61	53
Tue Jun 04 19:53:08 2013	1370389988	6	56	62	54
Tue Jun 04 19:53:08 2013	1370389988	10	52	63	51
Tue Jun 04 19:53:08 2013	1370389988	9	55	64	54
Tue Jun 04 19:53:08 2013	1370389988	11	53	64	52
Tue Jun 04 19:53:08 2013	1370389988	11	54	64	53
Tue Jun 04 19:53:08 2013	1370389988	9	61	70	59
Tue Jun 04 19:53:08 2013	1370389988	6	78	83	48
Tue Jun 04 19:53:11 2013	1370389991	11	74	85	44
Tue Jun 04 19:53:11 2013	1370389991	12	118	130	64
Tue Jun 04 19:53:10 2013	1370389990	6	127	133	48
Tue Jun 04 19:53:11 2013	1370389991	11	142	153	45
Tue Jun 04 19:53:11 2013	1370389991	3	155	158	50
Tue Jun 04 19:53:11 2013	1370389991	2	162	164	56
Tue Jun 04 19:53:11 2013	1370389991	6	175	181	44
Tue Jun 04 19:53:09 2013	1370389989	3	181	184	52
Tue Jun 04 19:53:09 2013	1370389989	69	118	186	73
Tue Jun 04 19:53:11 2013	1370389991	7	186	193	55
Tue Jun 04 19:53:10 2013	1370389990	18	181	199	52
Tue Jun 04 19:53:09 2013	1370389989	11	190	201	55
Tue Jun 04 19:53:09 2013	1370389989	69	134	203	41
Tue Jun 04 19:53:10 2013	1370389990	17	193	210	61
Tue Jun 04 19:53:11 2013	1370389991	7	205	212	55
Tue Jun 04 19:53:11 2013	1370389991	6	211	218	56
Tue Jun 04 19:53:09 2013	1370389989	31	196	227	154
Tue Jun 04 19:53:11 2013	1370389991	11	218	229	57
Tue Jun 04 19:53:10 2013	1370389990	6	226	232	52
Tue Jun 04 19:53:10 2013	1370389990	2	239	241	54
Tue Jun 04 19:53:10 2013	1370389990	34	239	273	59
Tue Jun 04 19:53:09 2013	1370389989	12	264	276	55
Tue Jun 04 19:53:08 2013	1370389988	4	278	282	49
Tue Jun 04 19:53:10 2013	1370389990	13	289	302	51
Tue Jun 04 19:53:10 2013	1370389990	41	264	305	86
Tue Jun 04 19:53:09 2013	1370389989	9	317	326	67
Tue Jun 04 19:53:10 2013	1370389990	18	310	328	66
Tue Jun 04 19:53:10 2013	1370389990	36	292	328	63
Tue Jun 04 19:53:10 2013	1370389990	18	310	328	76
Tue Jun 04 19:53:10 2013	1370389990	12	318	330	63
Tue Jun 04 19:53:10 2013	1370389990	12	318	330	69
Tue Jun 04 19:53:09 2013	1370389989	6	326	331	65
Tue Jun 04 19:53:09 2013	1370389989	6	326	332	70
Tue Jun 04 19:53:09 2013	1370389989	5	328	334	55
Tue Jun 04 19:53:09 2013	1370389989	13	321	334	77
Tue Jun 04 19:53:09 2013	1370389989	70	265	335	75
Tue Jun 04 19:53:10 2013	1370389990	26	317	343	60
Tue Jun 04 19:53:11 2013	1370389991	14	330	343	64
Tue Jun 04 19:53:08 2013	1370389988	6	389	395	189
Tue Jun 04 19:53:09 2013	1370389989	146	320	466	75
Tue Jun 04 19:53:10 2013	1370389990	37	438	475	114
Tue Jun 04 19:53:11 2013	1370389991	350	158	508	59
Tue Jun 04 19:53:09 2013	1370389989	109	403	512	351
Tue Jun 04 19:53:08 2013	1370389988	5	546	551	63
Tue Jun 04 19:53:09 2013	1370389989	24	561	585	52
Tue Jun 04 19:53:09 2013	1370389989	10	636	646	57
Tue Jun 04 19:53:08 2013	1370389988	19	645	663	56
Tue Jun 04 19:53:11 2013	1370389991	12	670	682	53
Tue Jun 04 19:53:11 2013	1370389991	11	700	711	63
Tue Jun 04 19:53:08 2013	1370389988	18	699	717	50
Tue Jun 04 19:53:08 2013	1370389988	10	782	792	63
Tue Jun 04 19:53:09 2013	1370389989	15	820	835	66
Tue Jun 04 19:53:09 2013	1370389989	15	820	835	60
Tue Jun 04 19:53:08 2013	1370389988	66	833	899	308
Tue Jun 04 19:53:10 2013	1370389990	23	912	935	55
Tue Jun 04 19:53:11 2013	1370389991	13	964	977	58
Tue Jun 04 19:53:08 2013	1370389988	44	952	996	81
Tue Jun 04 19:53:08 2013	1370389988	12	1044	1056	76
Tue Jun 04 19:53:09 2013	1370389989	103	979	1082	59
Tue Jun 04 19:53:08 2013	1370389988	10	1107	1118	394
Tue Jun 04 19:53:09 2013	1370389989	12	1116	1129	52
Tue Jun 04 19:53:10 2013	1370389990	67	1597	1664	69
Tue Jun 04 19:53:10 2013	1370389990	75	1617	1692	63
Tue Jun 04 19:53:09 2013	1370389989	83	2012	2094	227
